                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.53261,                0.70897,                0.99374,                0.96789,                 0.9697,                0.99034,                0.89723,                0.43441,                0.38711,                0.92413,             0.00015537,             0.00015537,             0.00015537
                     36,                0.53562,                0.70729,                 0.9992,                0.96341,                0.97171,                0.99031,                0.89315,                0.44311,                0.38584,                0.93065,             0.00015479,             0.00015479,             0.00015479
                     37,                0.53267,                0.71457,                 1.0067,                0.97643,                0.96192,                0.99059,                 0.8985,                0.44225,                0.37486,                0.92526,             0.00015421,             0.00015421,             0.00015421
                     38,                 0.5224,                0.67671,                0.99047,                0.97714,                0.96784,                0.99003,                0.89823,                  0.443,                0.37632,                0.92736,             0.00015363,             0.00015363,             0.00015363
                     39,                0.52467,                0.67487,                0.98948,                0.97118,                0.95982,                0.98888,                0.89573,                0.43259,                0.36746,                0.91881,             0.00015305,             0.00015305,             0.00015305
                     40,                0.51955,                0.67066,                0.98516,                0.96902,                0.97474,                0.99008,                0.90199,                0.43488,                0.35592,                0.92022,             0.00015248,             0.00015248,             0.00015248
                     41,                0.51596,                 0.6682,                0.98626,                0.96492,                0.97028,                0.99054,                0.90392,                0.43456,                0.35853,                0.92228,              0.0001519,              0.0001519,              0.0001519
                     42,                0.52305,                0.65992,                0.98655,                0.97111,                0.95966,                0.98962,                0.90025,                0.44092,                0.36777,                0.92296,             0.00015132,             0.00015132,             0.00015132
                     43,                0.51993,                0.65025,                0.98879,                0.97504,                0.97433,                0.99092,                0.89732,                0.44336,                0.35752,                0.92853,             0.00015074,             0.00015074,             0.00015074
                     44,                0.51271,                0.63575,                0.97648,                0.97938,                0.96636,                0.99054,                0.90031,                0.42812,                0.34297,                0.91472,             0.00015017,             0.00015017,             0.00015017
                     45,                0.52564,                0.64828,                0.98935,                0.97902,                0.97181,                0.99124,                0.90045,                0.43336,                0.33722,                0.91878,             0.00014959,             0.00014959,             0.00014959
                     46,                0.52222,                0.63381,                0.98886,                0.97443,                0.97361,                0.99156,                0.89686,                0.44401,                0.35417,                 0.9335,             0.00014901,             0.00014901,             0.00014901
                     47,                0.51203,                0.63458,                0.98307,                0.97413,                0.97678,                 0.9902,                0.90137,                0.42915,                0.33253,                0.91937,             0.00014844,             0.00014844,             0.00014844
                     48,                0.50269,                0.60323,                0.97295,                0.97753,                0.97424,                0.99115,                 0.9026,                0.42543,                0.33696,                 0.9144,             0.00014786,             0.00014786,             0.00014786
                     49,                0.51188,                 0.6123,                0.97895,                0.98145,                0.97232,                0.99119,                0.89884,                0.43525,                0.32989,                0.92129,             0.00014728,             0.00014728,             0.00014728
                     50,                0.50576,                0.60652,                0.98622,                0.97169,                0.97709,                0.99089,                0.90095,                0.43151,                0.33386,                0.92057,              0.0001467,              0.0001467,              0.0001467
                     51,                0.51451,                0.61828,                0.99138,                0.98367,                0.97212,                 0.9925,                0.89995,                0.43243,                0.31954,                0.91797,             0.00014613,             0.00014613,             0.00014613
                     52,                0.51325,                0.61183,                0.97889,                0.97996,                0.97316,                0.99067,                0.89929,                0.42639,                0.32839,                0.91716,             0.00014555,             0.00014555,             0.00014555
                     53,                0.50445,                0.59396,                0.97942,                0.98325,                0.97501,                0.99187,                0.90195,                0.42803,                0.31674,                0.92015,             0.00014497,             0.00014497,             0.00014497
                     54,                0.50719,                0.60487,                0.98461,                0.98093,                0.97845,                0.99129,                 0.9007,                0.43187,                 0.3271,                0.91392,             0.00014439,             0.00014439,             0.00014439
                     55,                0.49648,                 0.5819,                0.97167,                0.97283,                0.97601,                0.99047,                0.89927,                0.43551,                0.32973,                0.91987,             0.00014382,             0.00014382,             0.00014382
                     56,                0.50072,                0.59415,                0.98372,                0.97834,                0.97624,                0.99103,                 0.9027,                0.42663,                0.32252,                0.91831,             0.00014324,             0.00014324,             0.00014324
                     57,                0.49456,                0.58012,                0.97601,                0.97679,                0.97432,                 0.9925,                 0.9023,                0.42249,                 0.3198,                0.91366,             0.00014266,             0.00014266,             0.00014266
                     58,                0.49693,                0.59013,                0.97312,                0.98055,                0.97458,                0.99188,                0.90037,                0.43194,                0.31951,                0.91917,             0.00014208,             0.00014208,             0.00014208
                     59,                0.49874,                0.57739,                0.97277,                0.98406,                0.97511,                 0.9923,                0.90277,                0.42082,                0.30918,                0.91543,              0.0001415,              0.0001415,              0.0001415
                     60,                0.49814,                0.57544,                0.97474,                0.97837,                0.97681,                0.99286,                0.90089,                0.42495,                0.31375,                0.91464,             0.00014093,             0.00014093,             0.00014093
                     61,                0.49359,                0.56504,                0.97799,                0.98565,                0.97491,                0.99352,                0.89994,                0.43066,                 0.3162,                0.91751,             0.00014035,             0.00014035,             0.00014035
                     62,                0.49437,                0.56562,                0.97215,                0.97947,                0.97449,                0.99304,                0.90707,                0.42329,                0.31469,                0.91168,             0.00013977,             0.00013977,             0.00013977
                     63,                0.49503,                0.55614,                0.97413,                0.98238,                0.98026,                0.99331,                0.90335,                0.43437,                0.30216,                0.92085,             0.00013919,             0.00013919,             0.00013919
                     64,                0.49015,                0.54669,                 0.9617,                0.98072,                 0.9759,                0.99238,                0.89804,                 0.4407,                0.31263,                 0.9222,             0.00013862,             0.00013862,             0.00013862
                     65,                  0.491,                0.54272,                0.96463,                0.98312,                 0.9828,                0.99169,                 0.9014,                0.43186,                0.30696,                 0.9221,             0.00013804,             0.00013804,             0.00013804
                     66,                0.50152,                0.54655,                0.97648,                 0.9856,                0.97303,                0.99191,                0.89687,                0.44289,                0.30362,                0.93062,             0.00013746,             0.00013746,             0.00013746
                     67,                0.48839,                0.53842,                 0.9684,                0.98278,                0.97922,                0.99248,                0.90418,                 0.4237,                0.31081,                0.90855,             0.00013689,             0.00013689,             0.00013689
                     68,                0.49239,                0.55101,                0.97889,                0.98714,                0.97621,                0.99163,                0.90066,                0.42871,                0.30638,                0.91683,             0.00013631,             0.00013631,             0.00013631
                     69,                0.48691,                 0.5442,                0.96836,                0.98417,                0.97931,                0.99194,                0.90895,                 0.4179,                0.30273,                0.90626,             0.00013573,             0.00013573,             0.00013573
                     70,                0.48804,                0.53266,                0.96899,                0.98171,                0.98247,                0.99236,                0.90342,                0.43095,                0.31083,                0.92268,             0.00013515,             0.00013515,             0.00013515
                     71,                0.48291,                0.53916,                0.96573,                0.98465,                0.97165,                0.99336,                0.90405,                0.42938,                0.30068,                 0.9156,             0.00013457,             0.00013457,             0.00013457
                     72,                0.48084,                0.53109,                0.96727,                0.98679,                0.97831,                 0.9925,                0.90266,                0.43119,                0.29705,                0.91719,               0.000134,               0.000134,               0.000134
                     73,                0.49337,                0.53411,                0.97397,                0.97933,                0.98843,                0.99323,                0.90406,                0.43309,                0.29232,                0.91628,             0.00013342,             0.00013342,             0.00013342
                     74,                0.48048,                0.52946,                0.97218,                 0.9809,                0.97872,                0.99234,                0.90253,                0.43519,                 0.3015,                0.92286,             0.00013284,             0.00013284,             0.00013284
                     75,                0.48284,                0.52681,                0.97167,                0.98168,                0.98321,                0.99256,                0.90391,                0.43975,                 0.3046,                0.92174,             0.00013226,             0.00013226,             0.00013226
                     76,                0.47728,                0.52508,                0.96032,                0.98542,                 0.9781,                 0.9928,                0.90504,                0.42398,                0.30589,                 0.9104,             0.00013169,             0.00013169,             0.00013169
                     77,                0.48155,                 0.5099,                0.96634,                0.98339,                0.98008,                0.99334,                0.90649,                0.42218,                0.28777,                0.91566,             0.00013111,             0.00013111,             0.00013111
